county_code,county_name,county_name1,clan_num,prov,prov1,startlng0,startlat0,auxiliary
110111,房山区,房山区,1,北京,北京市,116.14944,39.754326,北京市房山区
110112,通州区,通州区,4,北京,北京市,116.66342,39.916017,北京市通州区
110221,昌平县(昌平镇),昌平县,1,北京,北京市,116.23762,40.226413,北京市昌平县
110224,大兴县(黄村镇),大兴县,7,北京,北京市,116.34707,39.748937,北京市大兴县
110227,怀柔县(怀柔镇),怀柔县,2,北京,北京市,116.64684,40.308225,北京市怀柔县
110229,延庆县(延庆镇),延庆县,1,北京,北京市,115.99119,40.464607,北京市延庆县
120221,宁河县(芦台镇),宁河县,1,天津,天津市,117.83239,39.336956,天津市宁河县
120222,武清县(杨村镇),武清县,7,天津,天津市,117.0506,39.389871,天津市武清县
120223,静海县(静海镇),静海县,7,天津,天津市,116.92903,38.936,天津市静海县
120224,宝坻县(城关镇),宝坻县,6,天津,天津市,116.87948,39.53837,天津市宝坻县
130101,石家庄市,石家庄市,4,河北,河北省,114.52153,38.048312,河北省石家庄市
130121,井陉县(微水镇),井陉县,1,河北,河北省,114.15896,38.029781,河北省井陉县
130123,正定县(正定镇),正定县,5,河北,河北省,114.58933,38.159493,河北省正定县
130125,行唐县(龙州镇),行唐县,1,河北,河北省,114.55876,38.447679,河北省行唐县
130126,灵寿县(灵寿镇),灵寿县,1,河北,河北省,114.40115,38.313335,河北省灵寿县
130127,高邑县(高邑镇),高邑县,2,河北,河北省,114.6212,37.61391,河北省高邑县
130130,无极县(无极镇),无极县,2,河北,河北省,114.98877,38.185801,河北省无极县
130182,藁城市,藁城市,2,河北,河北省,114.85338,38.027817,河北省藁城市
130223,滦县(滦州镇),滦县,6,河北,河北省,118.696082,39.746707,河北省滦县
130224,滦南县(倴城镇),滦南县,3,河北,河北省,118.67299,39.513098,河北省滦南县
130229,玉田县(玉田镇),玉田县,2,河北,河北省,117.74766,39.891142,河北省玉田县
130301,秦皇岛市,秦皇岛市,4,河北,河北省,119.52597,39.894727,河北省秦皇岛市
130321,青龙满族自治县(青龙镇),青龙满族自治县,2,河北,河北省,118.96166,40.410109,河北省青龙满族自治县
130322,昌黎县(昌黎镇),昌黎县,1,河北,河北省,119.19887,39.727277,河北省昌黎县
130323,抚宁县(抚宁镇),抚宁县,7,河北,河北省,119.24399,39.894914,河北省抚宁县
130324,卢龙县(卢龙镇),卢龙县,3,河北,河北省,118.88581,39.898762,河北省卢龙县
130426,涉县(涉城镇),涉县,3,河北,河北省,113.68303,36.5845,河北省涉县
130427,磁县(磁州镇),磁县,2,河北,河北省,114.39789,36.38055,河北省磁县
130429,永年县(临铭关镇),永年县,2,河北,河北省,114.55063,36.747569,河北省永年县
130433,馆陶县(馆陶镇),馆陶县,1,河北,河北省,115.28647,36.53168,河北省馆陶县
130481,武安市,武安市,2,河北,河北省,114.21052,36.702488,河北省武安市
130524,柏乡县(柏乡镇),柏乡县,2,河北,河北省,114.70252,37.493761,河北省柏乡县
130528,宁晋县(凤凰镇),宁晋县,7,河北,河北省,114.92395,37.632187,河北省宁晋县
130530,新河县(新河镇),新河县,1,河北,河北省,115.24517,37.524754,河北省新河县
130534,清河县(葛仙庄镇),清河县,3,河北,河北省,115.66428,37.070974,河北省清河县
130535,临西县(临西镇),临西县,1,河北,河北省,115.51,36.876065,河北省临西县
130581,南宫市,南宫市,2,河北,河北省,115.41453,37.364069,河北省南宫市
130601,保定市,保定市,3,河北,河北省,115.47146,38.879988,河北省保定市
130621,满城县(满城镇),满城县,1,河北,河北省,115.3149,38.969589,河北省满城县
130622,清苑县(清苑镇),清苑县,6,河北,河北省,115.50903,38.772679,河北省清苑县
130624,阜平县(阜平镇),阜平县,1,河北,河北省,114.20178,38.855084,河北省阜平县
130625,徐水县(安肃镇),徐水县,1,河北,河北省,115.65131,39.020531,河北省徐水县
130626,定兴县(定兴镇),定兴县,6,河北,河北省,115.79744,39.273006,河北省定兴县
130627,唐县(仁厚镇),唐县,1,河北,河北省,114.98893,38.742436,河北省唐县
130628,高阳县(高阳镇),高阳县,4,河北,河北省,115.78545,38.706258,河北省高阳县
130629,容城县(容城镇),容城县,2,河北,河北省,115.89545,39.040797,河北省容城县
130633,易县(易州镇),易县,1,河北,河北省,115.50814,39.35102,河北省易县
130635,蠡县(蠡吾镇),蠡县,1,河北,河北省,115.60212,38.506855,河北省蠡县
130637,博野县(博野镇),博野县,5,河北,河北省,115.46466,38.462902,河北省博野县
130681,涿州市,涿州市,3,河北,河北省,115.98162,39.491066,河北省涿州市
130682,定州市,定州市,1,河北,河北省,114.9965,38.522199,河北省定州市
130684,高碑店市,高碑店市,1,河北,河北省,115.88057,39.332335,河北省高碑店市
130726,蔚县(蔚州镇),蔚县,2,河北,河北省,114.58988,39.849864,河北省蔚县
130727,阳原县(西城镇),阳原县,1,河北,河北省,114.17209,40.119318,河北省阳原县
130730,怀来县(沙城镇),怀来县,1,河北,河北省,115.52594,40.409774,河北省怀来县
130731,涿鹿县(涿鹿镇),涿鹿县,1,河北,河北省,115.214,40.385289,河北省涿鹿县
130824,滦平县(滦平镇),滦平县,1,河北,河北省,117.33151,40.93125,河北省滦平县
130826,丰宁满族自治县(大阁镇),丰宁满族自治县,1,河北,河北省,116.65221,41.211059,河北省丰宁满族自治县
130901,沧州市,沧州市,17,河北,河北省,116.84558,38.310215,河北省沧州市
130921,沧县(沧州市),沧县,6,河北,河北省,116.8844,38.299453,河北省沧县
130922,青县(清州镇),青县,9,河北,河北省,116.8274,38.58627,河北省青县
130923,东光县(东光镇),东光县,12,河北,河北省,116.56174,37.88604,河北省东光县
130924,海兴县(苏基镇),海兴县,1,河北,河北省,117.51159,38.149554,河北省海兴县
130925,盐山县(盐山镇),盐山县,5,河北,河北省,117.23809,38.058493,河北省盐山县
130927,南皮县(南皮镇),南皮县,13,河北,河北省,116.70233,38.04901,河北省南皮县
130928,吴桥县(桑园镇),吴桥县,1,河北,河北省,116.40338,37.637262,河北省吴桥县
130929,献县(乐寿镇),献县,3,河北,河北省,116.13399,38.19611,河北省献县
130981,泊头市,泊头市,4,河北,河北省,116.58463,38.089257,河北省泊头市
130982,任丘市,任丘市,4,河北,河北省,116.09128,38.692032,河北省任丘市
130983,黄骅市,黄骅市,1,河北,河北省,117.33648,38.377494,河北省黄骅市
130984,河间市,河间市,2,河北,河北省,116.10563,38.451357,河北省河间市
131001,廊坊市,廊坊市,4,河北,河北省,116.69058,39.543367,河北省廊坊市
131022,固安县(固安镇),固安县,1,河北,河北省,116.31031,39.448044,河北省固安县
131025,大城县(平舒镇),大城县,1,河北,河北省,116.64708,38.700582,河北省大城县
131026,文安县(文安镇),文安县,4,河北,河北省,116.46529,38.876209,河北省文安县
131081,霸州市,霸州市,2,河北,河北省,116.3984,39.130921,河北省霸州市
131082,三河市,三河市,1,河北,河北省,117.08459,39.9881,河北省三河市
131121,枣强县(枣强镇),枣强县,3,河北,河北省,115.72953,37.521227,河北省枣强县
131123,武强县(武强镇),武强县,3,河北,河北省,115.99057,38.04801,河北省武强县
131124,饶阳县(饶阳镇),饶阳县,1,河北,河北省,115.73867,38.244027,河北省饶阳县
131126,故城县(郑口镇),故城县,3,河北,河北省,115.93798,37.37098,河北省故城县
131127,景县(景州镇),景县,5,河北,河北省,116.27948,37.69819,河北省景县
131128,阜城县(阜城镇),阜城县,2,河北,河北省,116.16909,37.878661,河北省阜城县
131181,翼州市,翼州市,3,河北,河北省,114.5366,38.043202,河北省翼州市
140101,太原市,太原市,2,山西,山西省,112.55639,37.876989,山西省太原市
140121,清徐县(清源镇),清徐县,7,山西,山西省,112.37645,37.599126,山西省清徐县
140122,阳曲县(黄寨镇),阳曲县,2,山西,山西省,112.68275,38.067388,山西省阳曲县
140225,浑源县(城关镇),浑源县,5,山西,山西省,113.69873,39.711724,山西省浑源县
140301,阳泉市,阳泉市,1,山西,山西省,113.58762,37.862361,山西省阳泉市
140321,平定县(城关镇),平定县,22,山西,山西省,113.66442,37.792796,山西省平定县
140322,盂县(城关镇),盂县,3,山西,山西省,113.41842,38.09198,山西省盂县
140423,襄垣县(城关镇),襄垣县,2,山西,山西省,113.05741,36.541686,山西省襄垣县
140429,武乡县(城关镇),武乡县,1,山西,山西省,112.87061,36.843168,山西省武乡县
140430,沁县(城关镇),沁县,25,山西,山西省,112.70546,36.76219,山西省沁县
140431,沁源县(城关镇),沁源县,1,山西,山西省,112.34445,36.506103,山西省沁源县
140481,潞城市,潞城市,2,山西,山西省,113.23558,36.339691,山西省潞城市
140521,沁水县(城关镇),沁水县,2,山西,山西省,112.19343,35.696364,山西省沁水县
140522,阳城县(城关镇),阳城县,8,山西,山西省,112.42145,35.492181,山西省阳城县
140581,高平市,高平市,2,山西,山西省,112.93041,35.804337,山西省高平市
140601,朔州市,朔州市,1,山西,山西省,112.43937,39.337108,山西省朔州市
140621,山阴县(岱岳镇),山阴县,1,山西,山西省,112.84625,39.53329,山西省山阴县
140622,应县(城关镇),应县,3,山西,山西省,113.19749,39.560078,山西省应县
140623,右玉县(梁家油坊镇),右玉县,1,山西,山西省,112.4735,39.99486,山西省右玉县
140624,怀仁县(城关镇),怀仁县,2,山西,山西省,113.10661,39.833757,山西省怀仁县
142201,忻州地区(忻州市),忻州地区,7,山西,山西省,112.74062,38.422383,山西省忻州地区
142202,原平市,原平市,6,山西,山西省,112.71749,38.736476,山西省原平市
142222,定襄县(城关镇),定襄县,5,山西,山西省,112.96353,38.479974,山西省定襄县
142223,五台县(城关镇),五台县,14,山西,山西省,113.26145,38.734182,山西省五台县
142225,代县(城关镇),代县,12,山西,山西省,112.96655,39.072728,山西省代县
142226,繁峙县(城关镇),繁峙县,2,山西,山西省,113.27141,39.195237,山西省繁峙县
142234,偏关县(城关镇),偏关县,6,山西,山西省,111.51447,39.44223,山西省偏关县
142303,汾阳市,汾阳市,6,山西,山西省,111.7946,37.271292,山西省汾阳市
142322,文水县(城关镇),文水县,1,山西,山西省,112.0356,37.4443,山西省文水县
142323,交城县(城关镇),交城县,1,山西,山西省,112.16257,37.557772,山西省交城县
142327,柳林县(柳林镇),柳林县,1,山西,山西省,110.90135,37.438954,山西省柳林县
142328,石楼县(城关镇),石楼县,1,山西,山西省,110.8416,37.004471,山西省石楼县
142401,晋中市,晋中市,1,山西,山西省,112.75959,37.692839,山西省晋中市
142402,介休市,介休市,12,山西,山西省,111.92356,37.032686,山西省介休市
142421,榆社县(城关镇),榆社县,2,山西,山西省,112.9816,37.07637,山西省榆社县
142427,寿阳县(城关镇),寿阳县,4,山西,山西省,113.18341,37.901308,山西省寿阳县
142429,太谷县(城关镇),太谷县,4,山西,山西省,111.90991,37.035276,山西省太谷县
142430,祁县(城关镇),祁县,4,山西,山西省,112.34244,37.364131,山西省祁县
142431,平遥县(城关镇),平遥县,3,山西,山西省,112.18246,37.195601,山西省平遥县
142433,灵石县(城关镇),灵石县,7,山西,山西省,111.78562,36.853368,山西省灵石县
142601,临汾市,临汾市,5,山西,山西省,111.52553,36.093742,山西省临汾市
142603,霍州市,霍州市,1,山西,山西省,111.76151,36.574607,山西省霍州市
142621,曲沃县(城关镇),曲沃县,2,山西,山西省,111.4824,35.647327,山西省曲沃县
142623,襄汾县(城关镇),襄汾县,2,山西,山西省,111.44854,35.882063,山西省襄汾县
142625,洪洞县(城关镇),洪洞县,26,山西,山西省,111.68159,36.259467,山西省洪洞县
142628,安泽县(城关镇),安泽县,1,山西,山西省,112.25661,36.153514,山西省安泽县
142631,乡宁县(城关镇),乡宁县,1,山西,山西省,107.93457,35.507933,山西省乡宁县
142632,蒲县(城关镇),蒲县,1,山西,山西省,111.10247,36.418005,山西省蒲县
142634,永和县(城关镇),永和县,1,山西,山西省,110.63842,36.765909,山西省永和县
142701,运城市,运城市,4,山西,山西省,111.01339,35.032707,山西省运城市
142702,永济市,永济市,2,山西,山西省,110.45458,34.87283,山西省永济市
142723,芮城县(城关镇),芮城县,1,山西,山西省,110.70061,34.699388,山西省芮城县
142724,临猗县（城关镇）,临猗县,12,山西,山西省,110.78041,35.149542,山西省临猗县
142725,万荣县(城关镇),万荣县,1,山西,山西省,110.84458,35.421109,山西省万荣县
142727,稷山县(城关镇),稷山县,3,山西,山西省,110.98941,35.610404,山西省稷山县
142729,闻喜县(城关镇),闻喜县,4,山西,山西省,111.23141,35.362931,山西省闻喜县
142730,夏县(城关镇),夏县,3,山西,山西省,111.22643,35.147462,山西省夏县
142731,绛县(城关镇),绛县,1,山西,山西省,111.57549,35.497276,山西省绛县
142732,平陆县(城关镇),平陆县,1,山西,山西省,111.22348,34.842925,山西省平陆县
142733,垣曲县(新城镇),垣曲县,2,山西,山西省,111.67916,35.30644,山西省垣曲县
152301,通辽市,通辽市,1,内蒙古,内蒙古自治区,122.25052,43.65798,内蒙古自治区通辽市
210101,沈阳市,沈阳市,45,辽宁,辽宁省,123.4711,41.68383,辽宁省沈阳市
210122,辽中县(辽中镇),辽中县,1,辽宁,辽宁省,122.77238,41.523149,辽宁省辽中县
210123,康平县(康平镇),康平县,1,辽宁,辽宁省,123.33751,42.749925,辽宁省康平县
210181,新民市,新民市,1,辽宁,辽宁省,122.843108,41.992587,辽宁省新民市
210201,大连市,大连市,13,辽宁,辽宁省,121.62163,38.918954,辽宁省大连市
210281,瓦房店市,瓦房店市,3,辽宁,辽宁省,121.98564,39.632741,辽宁省瓦房店市
210282,普兰店市,普兰店市,1,辽宁,辽宁省,121.94646,39.398089,辽宁省普兰店市
210283,庄河市,庄河市,1,辽宁,辽宁省,122.9745,39.686956,辽宁省庄河市
210301,鞍山市,鞍山市,15,辽宁,辽宁省,123.00137,41.115054,辽宁省鞍山市
210321,台安县(台安镇),台安县,5,辽宁,辽宁省,122.44255,41.41859,辽宁省台安县
210381,海城市,海城市,36,辽宁,辽宁省,122.691573,40.888725,辽宁省海城市
210401,抚顺市,抚顺市,13,辽宁,辽宁省,123.96437,41.88597,辽宁省抚顺市
210421,抚顺县(抚顺市),抚顺县,13,辽宁,辽宁省,123.92159,41.887037,辽宁省抚顺县
210422,新宾满族自治县(新宾镇),新宾满族自治县,11,辽宁,辽宁省,125.0437,41.745436,辽宁省新宾满族自治县
210501,本溪市,本溪市,29,辽宁,辽宁省,123.69251,41.492916,辽宁省本溪市
210521,本溪满族自治县(小市镇),本溪满族自治县,29,辽宁,辽宁省,124.12871,41.304004,辽宁省本溪满族自治县
210522,桓仁满族自治县(桓仁镇),桓仁满族自治县,2,辽宁,辽宁省,125.36831,41.278931,辽宁省桓仁满族自治县
210601,丹东市,丹东市,2,辽宁,辽宁省,124.36155,40.006409,辽宁省丹东市
210624,宽甸满族自治县(宽甸镇),宽甸满族自治县,3,辽宁,辽宁省,124.79443,40.738306,辽宁省宽甸满族自治县
210681,东港市,东港市,4,辽宁,辽宁省,124.15846,39.868382,辽宁省东港市
210701,锦州市,锦州市,3,辽宁,辽宁省,121.1326,41.100931,辽宁省锦州市
210726,黑山县(黑山镇),黑山县,3,辽宁,辽宁省,122.13293,41.659497,辽宁省黑山县
210782,北宁市,北宁市,8,辽宁,辽宁省,123.4356,41.841465,辽宁省北宁市
210801,营口市,营口市,1,辽宁,辽宁省,122.2258,40.630703,辽宁省营口市
210881,盖州市,盖州市,9,辽宁,辽宁省,122.355013,40.407266,辽宁省盖州市
210882,大石桥市,大石桥市,2,辽宁,辽宁省,122.512504,40.651897,辽宁省大石桥市
211001,辽阳市,辽阳市,43,辽宁,辽宁省,123.24337,41.274161,辽宁省辽阳市
211021,辽阳县(首山镇),辽阳县,43,辽宁,辽宁省,123.08893,41.211441,辽宁省辽阳县
211081,灯塔市,灯塔市,1,辽宁,辽宁省,123.344308,41.433124,辽宁省灯塔市
211121,大洼县(大洼镇),大洼县,1,辽宁,辽宁省,122.08855,41.008179,辽宁省大洼县
211122,盘山县(盘锦市),盘山县,2,辽宁,辽宁省,122.00356,41.248264,辽宁省盘山县
211201,铁岭市,铁岭市,27,辽宁,辽宁省,123.73237,42.229948,辽宁省铁岭市
211221,铁岭县(铁岭市),铁岭县,27,辽宁,辽宁省,123.73537,42.229226,辽宁省铁岭县
211223,西丰县(西丰镇),西丰县,4,辽宁,辽宁省,124.71504,42.747245,辽宁省西丰县
211281,铁法市,铁法市,12,辽宁,辽宁省,120.48028,36.110936,辽宁省铁法市
211282,开原市,开原市,6,辽宁,辽宁省,124.04457,42.552079,辽宁省开原市
211381,北票市,北票市,1,辽宁,辽宁省,120.77763,41.806483,辽宁省北票市
211382,凌源市,凌源市,2,辽宁,辽宁省,119.406784,41.251433,辽宁省凌源市
211421,绥中县(绥中镇),绥中县,1,辽宁,辽宁省,120.34921,40.332806,辽宁省绥中县
211481,兴城市,兴城市,2,辽宁,辽宁省,120.76283,40.617212,辽宁省兴城市
220101,长春市,长春市,2,吉林,吉林省,125.3306,43.821954,吉林省长春市
220112,双阳区,双阳区,1,吉林,吉林省,125.67145,43.531091,吉林省双阳区
220122,农安县(农安镇),农安县,2,吉林,吉林省,125.18178,44.440857,吉林省农安县
220181,九台市,九台市,4,吉林,吉林省,125.84556,44.157792,吉林省九台市
220183,德惠市,德惠市,3,吉林,吉林省,125.73452,44.527161,吉林省德惠市
220201,吉林市,吉林市,1,吉林,吉林省,126.55563,43.843568,吉林省吉林市
220221,永吉县(口前镇),永吉县,5,吉林,吉林省,126.51582,43.67583,吉林省永吉县
220283,舒兰市,舒兰市,1,吉林,吉林省,126.97138,44.41227,吉林省舒兰市
220323,伊通满族自治县(伊通镇),伊通满族自治县,3,吉林,吉林省,125.32751,43.348613,吉林省伊通满族自治县
220681,临江市,临江市,1,吉林,吉林省,126.92458,41.817679,吉林省临江市
230181,阿城市,阿城市,1,黑龙江,黑龙江省,126.96436,45.554275,黑龙江省阿城市
230182,双城市,双城市,3,黑龙江,黑龙江省,126.31962,45.388112,黑龙江省双城市
230184,五常市,五常市,1,黑龙江,黑龙江省,127.17353,44.937843,黑龙江省五常市
230201,齐齐哈尔市,齐齐哈尔市,8,黑龙江,黑龙江省,123.92457,47.359977,黑龙江省齐齐哈尔市
230281,讷河市,讷河市,1,黑龙江,黑龙江省,124.88917,48.472528,黑龙江省讷河市
230621,肇州县(肇州镇),肇州县,1,黑龙江,黑龙江省,125.27567,45.714423,黑龙江省肇州县
230822,桦南县(桦南镇),桦南县,1,黑龙江,黑龙江省,130.5613,46.249052,黑龙江省桦南县
231001,牡丹江市,牡丹江市,1,黑龙江,黑龙江省,129.63954,44.556246,黑龙江省牡丹江市
231084,宁安市,宁安市,1,黑龙江,黑龙江省,129.48937,44.346984,黑龙江省宁安市
231121,嫩江县(嫩江镇),嫩江县,2,黑龙江,黑龙江省,125.22287,49.186016,黑龙江省嫩江县
232301,绥化市,绥化市,2,黑龙江,黑龙江省,126.97536,46.660032,黑龙江省绥化市
232326,青冈县(青冈镇),青冈县,1,黑龙江,黑龙江省,126.09354,46.688272,黑龙江省青冈县
310112,闵行区,闵行区,4,上海,上海市,121.38861,31.118843,上海市闵行区
310113,宝山区,宝山区,10,上海,上海市,121.49656,31.410279,上海市宝山区
310114,嘉定区,嘉定区,36,上海,上海市,121.2726,31.380155,上海市嘉定区
310115,浦东新区,浦东新区,15,上海,上海市,121.55045,31.227348,上海市浦东新区
310116,金山区,金山区,13,上海,上海市,121.61738,25.221926,上海市金山区
310117,松江区,松江区,66,上海,上海市,121.23448,31.037135,上海市松江区
310225,南汇县(惠南镇),南汇县,36,上海,上海市,121.75609,31.053614,上海市南汇县
310226,奉贤县(南桥镇),奉贤县,9,上海,上海市,121.46527,30.90949,上海市奉贤县
310229,青浦县(青浦镇),青浦县,31,上海,上海市,121.13055,31.155454,上海市青浦县
310230,崇明县(城桥镇),崇明县,138,上海,上海市,121.40458,31.633904,上海市崇明县
320101,南京市,南京市,34,江苏,江苏省,118.80242,32.064653,江苏省南京市
320121,江宁县(东山镇),江宁县,19,江苏,江苏省,118.84657,31.958527,江苏省江宁县
320124,溧水县(在城镇),溧水县,24,江苏,江苏省,119.0344,31.657284,江苏省溧水县
320125,高淳县(淳溪镇),高淳县,6,江苏,江苏省,118.8985,31.333639,江苏省高淳县
320201,无锡市,无锡市,561,江苏,江苏省,120.31858,31.49881,江苏省无锡市
320281,江阴市,江阴市,304,江苏,江苏省,120.29157,31.926045,江苏省江阴市
320282,宜兴市,宜兴市,298,江苏,江苏省,119.83161,31.342957,江苏省宜兴市
320301,徐州市,徐州市,11,江苏,江苏省,117.29058,34.212667,江苏省徐州市
320321,丰县(凤城镇),丰县,36,江苏,江苏省,116.66474,34.702176,江苏省丰县
320322,沛县(沛城镇),沛县,6,江苏,江苏省,116.94259,34.765152,江苏省沛县
320323,铜山县(徐州市),铜山县,7,江苏,江苏省,117.17557,34.1861,江苏省铜山县
320324,睢宁县(睢城镇),睢宁县,13,江苏,江苏省,117.94743,33.918789,江苏省睢宁县
320382,邳州市,邳州市,3,江苏,江苏省,118.01912,34.344646,江苏省邳州市
320401,常州市,常州市,588,江苏,江苏省,119.98148,31.815796,江苏省常州市
320481,溧阳市,溧阳市,71,江苏,江苏省,119.49151,31.422102,江苏省溧阳市
320482,金坛市,金坛市,53,江苏,江苏省,119.60457,31.728893,江苏省金坛市
320483,武进市,武进市,265,江苏,江苏省,119.94861,31.706447,江苏省武进市
320501,苏州市,苏州市,336,江苏,江苏省,120.59241,31.303564,江苏省苏州市
320581,常熟市,常熟市,125,江苏,江苏省,120.7595,31.659538,江苏省常熟市
320582,张家港市,张家港市,1,江苏,江苏省,120.56155,31.881141,江苏省张家港市
320583,昆山市,昆山市,51,江苏,江苏省,120.98745,31.390863,江苏省昆山市
320584,吴江市,吴江市,96,江苏,江苏省,120.65157,31.144644,江苏省吴江市
320585,太仓市,太仓市,35,江苏,江苏省,121.1356,31.464599,江苏省太仓市
320601,南通市,南通市,46,江苏,江苏省,120.90159,31.986549,江苏省南通市
320621,海安县(海安镇),海安县,4,江苏,江苏省,120.47443,32.539196,江苏省海安县
320623,如东县(掘港镇),如东县,1,江苏,江苏省,121.19244,32.335873,江苏省如东县
320681,启东市,启东市,2,江苏,江苏省,121.66347,31.814233,江苏省启东市
320682,如皋市,如皋市,48,江苏,江苏省,120.57947,32.377851,江苏省如皋市
320683,通州市,通州市,5,江苏,江苏省,121.08143,32.070356,江苏省通州市
320684,海门市,海门市,13,江苏,江苏省,121.189013,31.874348,江苏省海门市
320721,赣榆县(青口镇),赣榆县,11,江苏,江苏省,119.12236,34.808108,江苏省赣榆县
320722,东海县(牛山镇),东海县,8,江苏,江苏省,118.75957,34.547919,江苏省东海县
320724,灌南县(新安镇),灌南县,1,江苏,江苏省,119.35769,34.098636,江苏省灌南县
320801,淮阴市,淮阴市,37,江苏,江苏省,119.04142,33.63815,江苏省淮阴市
320821,淮阴县(王营镇),淮阴县,12,江苏,江苏省,119.04142,33.63815,江苏省淮阴县
320826,涟水县(涟城镇),涟水县,11,江苏,江苏省,119.26645,33.787079,江苏省涟水县
320830,盱眙县(盱城镇),盱眙县,9,江苏,江苏省,118.55144,33.018255,江苏省盱眙县
320901,盐城市,盐城市,39,江苏,江苏省,120.16754,33.355101,江苏省盐城市
320922,滨海县(东坎镇),滨海县,1,江苏,江苏省,119.82762,33.995647,江苏省滨海县
320923,阜宁县(阜城镇),阜宁县,15,江苏,江苏省,119.80958,33.765079,江苏省阜宁县
320925,建湖县(建湖镇),建湖县,4,江苏,江苏省,119.80553,33.469833,江苏省建湖县
320981,东台市,东台市,4,江苏,江苏省,120.32654,32.872716,江苏省东台市
320982,大丰市,大丰市,4,江苏,江苏省,120.50744,33.20476,江苏省大丰市
321001,扬州市,扬州市,51,江苏,江苏省,119.41942,32.400677,江苏省扬州市
321023,宝应县(县城镇),宝应县,26,江苏,江苏省,119.36556,33.247205,江苏省宝应县
321081,仪征市,仪征市,7,江苏,江苏省,119.19147,32.27809,江苏省仪征市
321084,高邮市,高邮市,13,江苏,江苏省,119.46562,32.787147,江苏省高邮市
321088,江都市,江都市,129,江苏,江苏省,119.5766,32.440295,江苏省江都市
321101,镇江市,镇江市,378,江苏,江苏省,119.43049,32.194716,江苏省镇江市
321121,丹徒县(镇江市),丹徒县,94,江苏,江苏省,119.4405,32.13792,江苏省丹徒县
321181,丹阳市,丹阳市,203,江苏,江苏省,119.6125,32.01592,江苏省丹阳市
321182,扬中市,扬中市,5,江苏,江苏省,119.80352,32.242967,江苏省扬中市
321183,句容市,句容市,40,江苏,江苏省,119.17543,31.950923,江苏省句容市
321201,泰州市,泰州市,41,江苏,江苏省,119.92957,32.460675,江苏省泰州市
321281,兴化市,兴化市,22,江苏,江苏省,119.85751,32.917824,江苏省兴化市
321282,靖江市,靖江市,26,江苏,江苏省,120.28353,31.98817,江苏省靖江市
321283,泰兴市,泰兴市,142,江苏,江苏省,120.0586,32.177474,江苏省泰兴市
321284,姜堰市,姜堰市,1,江苏,江苏省,120.1334,32.515234,江苏省姜堰市
321301,宿迁市,宿迁市,9,江苏,江苏省,118.28157,33.96775,江苏省宿迁市
321322,沭阳县(沭城镇),沭阳县,8,江苏,江苏省,118.81042,34.117454,江苏省沭阳县
321323,泗阳县(众兴镇),泗阳县,18,江苏,江苏省,118.70947,33.728328,江苏省泗阳县
330101,杭州市,杭州市,120,浙江,浙江省,120.21551,30.253083,浙江省杭州市
330122,桐庐县(桐庐镇),桐庐县,127,浙江,浙江省,119.6976,29.798585,浙江省桐庐县
330127,淳安县(千岛湖镇),淳安县,366,浙江,浙江省,119.08473,29.612786,浙江省淳安县
330181,萧山市,萧山市,274,浙江,浙江省,120.27047,30.187511,浙江省萧山市
330182,建德市,建德市,36,浙江,浙江省,119.2874,29.481154,浙江省建德市
330183,富阳市,富阳市,128,浙江,浙江省,119.96656,30.054723,浙江省富阳市
330184,余杭市,余杭市,38,浙江,浙江省,119.98589,30.280405,浙江省余杭市
330185,临安市,临安市,45,浙江,浙江省,119.73152,30.239806,浙江省临安市
330201,宁波市,宁波市,194,浙江,浙江省,121.63084,29.866068,浙江省宁波市
330225,象山县(丹城镇),象山县,96,浙江,浙江省,121.87556,29.482271,浙江省象山县
330226,宁海县(城关镇),宁海县,80,浙江,浙江省,121.43643,29.294317,浙江省宁海县
