dz_code,prov_code,prov_name,city_name,n_persons,n_surnames,hhi,top1_surname,top1_share,top2_surname,top2_share,top3_surname,top3_share,top4_surname,top4_share,top5_surname,top5_share
1101,11,北京市,北京城区,41581,538,0.043391,王,0.111277,张,0.096607,李,0.094538,刘,0.074746,赵,0.035353
1102,11,北京市,北京市,2065,154,0.054754,王,0.156416,张,0.11138,李,0.075061,赵,0.054722,刘,0.0523
1201,12,天津市,天津城区,66264,579,0.04962,王,0.115945,张,0.103661,李,0.098349,刘,0.091452,杨,0.036581
1202,12,天津市,天津市,9622,233,0.050325,李,0.110268,王,0.103409,张,0.102266,刘,0.092704,杨,0.040532
1301,13,河北省,石家庄市,11459,262,0.050909,张,0.133432,李,0.100009,王,0.09006,刘,0.087006,赵,0.050266
1302,13,河北省,唐山市,8490,252,0.054128,张,0.122733,王,0.107774,刘,0.101767,李,0.099176,赵,0.038751
1303,13,河北省,秦皇岛市,3246,184,0.05697,李,0.129698,王,0.114603,张,0.106593,刘,0.073937,赵,0.049908
1304,13,河北省,邯郸市,10974,226,0.047997,王,0.124567,李,0.106069,张,0.091762,刘,0.05103,杨,0.047567
1305,13,河北省,邢台市,8217,214,0.058164,李,0.127419,张,0.12535,王,0.108799,刘,0.081417,赵,0.053913
1306,13,河北省,保定市,13629,258,0.054121,王,0.126422,张,0.104483,李,0.09942,刘,0.09788,赵,0.042189
1307,13,河北省,张家口市,5121,216,0.047529,李,0.115602,张,0.107987,王,0.100957,刘,0.066003,赵,0.045108
1308,13,河北省,承德市,4413,203,0.045462,王,0.120326,李,0.099026,张,0.08339,刘,0.068887,赵,0.046454
1309,13,河北省,沧州市,8138,228,0.051988,王,0.119563,刘,0.104571,李,0.102728,张,0.095478,赵,0.039936
1310,13,河北省,廊坊市,5119,191,0.047172,王,0.105099,张,0.104708,李,0.094745,刘,0.087126,杨,0.046103
1311,13,河北省,衡水市,5142,190,0.052181,张,0.115325,李,0.112602,王,0.109685,刘,0.07079,赵,0.047063
1401,14,山西省,太原市,11840,309,0.046727,张,0.120355,王,0.111318,李,0.09603,刘,0.053716,赵,0.040541
1402,14,山西省,大同市,10897,259,0.046059,王,0.111223,张,0.107644,李,0.097458,刘,0.068826,赵,0.040562
1403,14,山西省,阳泉市,4637,161,0.052345,王,0.135864,张,0.096183,李,0.095105,刘,0.070735,赵,0.058227
1404,14,山西省,长治市,11646,228,0.048805,王,0.126481,李,0.105959,张,0.091705,刘,0.051091,郭,0.048429
1405,14,山西省,晋城市,7815,189,0.054348,李,0.133461,王,0.122585,张,0.102111,赵,0.052591,刘,0.039155
